"DI","PY","AU","TI","SO","AB","DT","CT","DE","TC","SC"
"10.1016/j.rineng.2025.106297",2025,"NANDAL P;BOHRA N;MANN P;DAS N;MONTH = S","YOLOV11 WITH TRANSFORMER ATTENTION FOR REAL-TIME MONITORING OF SHIPS: A FEDERATED LEARNING APPROACH FOR MARITIME SURVEILLANCE","RESULTS IN ENGINEERING","MARITIME SURVEILLANCE PLAYS A VERY IMPORTANT ROLE IN MARINE NAVIGATION, CONTROL AND ENFORCEMENT. IT IS NECESSARY FOR REAL TIME MONITORING OF ILLICIT ACTIVITIES AND REGULATING MARITIME TRAFFIC. SATELLITE IMAGES OF SHIPS AND VESSELS POSE DIFFICULTY IN IDENTIFYING SHIPS BECAUSE OF DIFFERENT OBJECT SIZES, OCCLUSIONS, AND INTRICATE BACKDROPS. IN ADDITION, TRADITIONAL CENTRALIZED MACHINE LEARNING MODELS FOR DETECTION OF SHIPS IN SATELLITE IMAGES OFTEN DEPEND ON CENTRALIZED ARCHITECTURES, WHICH LEAD TO CONSIDERABLE COMMUNICATION OVERHEAD AND TO THE CREATION OF A SINGLE POINT OF FAILURE. THIS PAPER PROPOSES A NOVEL TECHNIQUE THAT COMBINES FEDERATED LEARNING (FL) WITH YOLOV11, EMPOWERED WITH A TRANSFORMER-BASED ATTENTION MODULE, TO IMPROVE SHIP DETECTION ACCURACY IN REAL TIME WHILE ENSURING DATA CONFIDENTIALITY. THE FEDERATED ARCHITECTURE ALLOWS FOR DISTRIBUTED AND COLLABORATIVE TRAINING OF A GLOBAL MODEL, THUS SECURING RAW DATA, PRESERVING PRIVACY, AND ADDRESSING DATA HETEROGENEITY. THE COMBINATION OF CUTTING-EDGE OBJECT DETECTION ABILITY IN REAL TIME OFFERED BY YOLOV11 WITH A TRANSFORMER-BASED ATTENTION MODULE HELPS IN BETTER FEATURE EXTRACTION AND SPATIAL CONTEXT UNDERSTANDING, WHICH IS ESSENTIAL FOR IDENTIFYING SMALL OR CAMOUFLAGED SHIPS IN A CONVOLUTED MARITIME ENVIRONMENT. THE SUGGESTED METHOD WAS EVALUATED ON BENCHMARK SATELLITE IMAGERY DATASET, EXHIBITING A MARKED ENHANCEMENT IN DETECTION ACCURACY, ESPECIALLY FOR SMALL AND PARTIALLY OBSCURED SHIPS. THE PROPOSED METHOD ACHIEVED AN ACCURACY OF 95 PERCENT, A RECALL OF 90 PERCENT, MAP50 OF 92 PERCENT AND MAP50–95 OF 54.7 PERCENT. THE MODEL ALSO ATTAINS REAL-TIME INFERENCE SPEEDS, THUS DEMONSTRATING THE APPLICABILITY OF THE METHODOLOGY FOR SCALABLE AND SECURE MARITIME SURVEILLANCE APPLICATIONS. COMPARATIVE EXPERIMENTS DISPLAY THAT OUR METHODOLOGY EXCEEDS CURRENT CUTTING-EDGE APPROACHES IN ACCURACY, PRECISION, RECALL, AND MEAN AVERAGE PRECISION (MAP), WHILE SUSTAINING COMPUTATIONAL EFFICIENCY. THIS RESEARCH ACCENTUATES THE POTENTIAL OF HYBRID YOLO-TRANSFORMER FRAMEWORKS FOR ENHANCING REAL-TIME OBJECT DETECTION IN COMPLEX FL SETTINGS.",NA,NA,NA,0,NA
"10.1016/j.rsase.2025.101730",2025,"MAGALHÃES R;FALCÃO A;BARBOSA A;MONTH = N","VESSEL DETECTION LEVERAGING SATELLITE IMAGERY AND YOLO IN MARITIME SURVEILLANCE","REMOTE SENSING APPLICATIONS: SOCIETY AND ENVIRONMENT","VESSEL DETECTION IS ESSENTIAL FOR MARITIME SURVEILLANCE, SUPPORTING THE MONITORING OF FISHING, COMMERCIAL, AND TRANSPORTATION ACTIVITIES, AS WELL AS DETECTING SUSPICIOUS OR ILLEGAL VESSELS AND AIDING SEARCH AND RESCUE OPERATIONS. SATELLITE IMAGERY HAS BECOME INCREASINGLY VALUABLE FOR EARTH OBSERVATION APPLICATIONS DUE TO ITS WIDE RANGE OF SPATIO-TEMPORAL COVER. THE EUROPEAN SPACE AGENCY OFFERS FREE OPTICAL IMAGERY FROM THE SENTINEL-2 SATELLITE, PROVIDING A COST-EFFECTIVE SOLUTION FOR LARGE-SCALE MARITIME SURVEILLANCE. DEEP LEARNING MODELS, PARTICULARLY YOU ONLY LOOK ONCE (YOLO), HAVE DEMONSTRATED IMPRESSIVE OBJECT DETECTION PERFORMANCE AND ARE WIDELY REGARDED AS STATE-OF-THE-ART FOR REAL-TIME APPLICATIONS. THIS ARTICLE ADDRESSES AN EXISTING RESEARCH GAP BY COMPARING YOLO VERSIONS 8 AND 10 FOR VESSEL AND WAKE DETECTION USING A DATASET PROVIDED BY CEIIA. THE MODELS WERE TESTED TO DETERMINE THE OPTIMAL CONFIGURATION FOR THIS TASK AND AFTER EVALUATION, AND A YOLOV8 CONFIGURATION WAS SELECTED. FOLLOWING THIS SELECTION, THE DATASET WAS EXPANDED LEADING TO FURTHER PERFORMANCE IMPROVEMENTS. THE FINAL YOLOV8 MODEL ACHIEVED AN F1-SCORE OF 88.69 \% (WITH 90.47 \% PRECISION AND 86.98 \% RECALL), AN IOU OF 72.91 \%, A MAP50 OF 87.53 \% AND MAP50-95 OF 61.20 \%. SINGLE CLASS TRAINING IMPROVED BOUNDING BOX LOCALIZATION AND DELINEATION, HOWEVER IT SLIGHTLY REDUCED PERFORMANCE, POSSIBLY DUE TO A LOSS OF CONTEXTUAL INFORMATION. ADDITIONALLY, TESTING ON HIGH-RESOLUTION IMAGES CONFIRMED THAT MODELS TRAINED ON LOWER-RESOLUTION DATA CAN STILL PERFORM RELATIVELY WELL ON HIGHER-RESOLUTION IMAGES, WITH POTENTIAL FOR FURTHER IMPROVEMENT THROUGH FINE-TUNING. THESE RESULTS SUPPORT THAT YOLO MODELS ARE HIGHLY EFFECTIVE FOR REAL-TIME VESSEL DETECTION AND CAN BE RELIABLY APPLIED IN MARITIME SURVEILLANCE.",NA,NA,NA,0,NA
"10.1016/j.rsma.2024.103975",2025,"BAKIRCI M;MONTH = J","ADVANCED SHIP DETECTION AND OCEAN MONITORING WITH SATELLITE IMAGERY AND DEEP LEARNING FOR MARINE SCIENCE APPLICATIONS","REGIONAL STUDIES IN MARINE SCIENCE","SHIP DETECTION FROM SATELLITE IMAGERY IS A POWERFUL TOOL IN MARINE SCIENCE, OFFERING CRUCIAL UNDERSTANDING OF VESSEL TRAFFIC PATTERNS, FISHING ACTIVITIES, AND ENVIRONMENTAL IMPACTS ON MARINE ECOSYSTEMS. THE ABILITY TO MONITOR SHIP MOVEMENTS ON A LARGE SCALE AIDS IN ASSESSING ANTHROPOGENIC PRESSURES ON SENSITIVE HABITATS, ENFORCING REGULATORY COMPLIANCE, AND SUPPORTING CONSERVATION EFFORTS IN PROTECTED AREAS. THIS STUDY OFFERS A FRESH PERSPECTIVE ON SHIP DETECTION IN OCEANIC ENVIRONMENTS BY PIONEERING THE EVALUATION OF YOLOV9, A CUTTING-EDGE DETECTION ALGORITHM, WITHIN THIS DOMAIN FOR THE FIRST TIME. APPLYING A DIVERSE SET OF DATA AUGMENTATION TECHNIQUES SIGNIFICANTLY IMPROVED THE ALGORITHM'S ABILITY TO DETECT SMALL SHIPS. ADDITIONALLY, ATMOSPHERIC SCATTERING EFFECTS COMMONLY PRESENT IN SATELLITE IMAGES WERE MITIGATED THROUGH FILTERING, FURTHER ENHANCING DETECTION PERFORMANCE. WITH A REMARKABLE INCREASE IN SPEED AND SIGNIFICANTLY SUPERIOR PERFORMANCE, PARTICULARLY IN DETECTING SMALL SHIPS AND MINIMIZING DETECTION TIME, YOLOV9 EMERGES AS THE PREMIER CANDIDATE FOR REAL-TIME APPLICATIONS AND TIME-SENSITIVE CRITICAL OPERATIONS.",NA,NA,NA,0,NA
"10.1016/j.srs.2025.100270",2025,"MBIETIEU M;HIPPOLYTE M T;EDOUARD K;TSOPZE N;MONTH = D","SHIPFPN: NEW FEATURE PYRAMID NETWORK ARCHITECTURE FOR OBJECT DETECTION IN HIGH-RESOLUTION SATELLITE IMAGES: APPLICATION TO SHIP DETECTION","SCIENCE OF REMOTE SENSING","ADVANCEMENTS IN REMOTE SENSING AND ARTIFICIAL INTELLIGENCE ARE TRANSFORMING MARITIME OBJECT DETECTION IN HIGH-RESOLUTION SATELLITE IMAGERY (HRSI), WITH CRITICAL APPLICATIONS IN ENVIRONMENTAL MONITORING, MARITIME SECURITY, AND SUSTAINABLE OCEAN MANAGEMENT. HOWEVER, DETECTING SHIPS IN HRSI REMAINS CHALLENGING DUE TO VARIATIONS IN OBJECT SIZE, ORIENTATION, AND ENVIRONMENTAL CONDITIONS. THIS STUDY INTRODUCES SHIP FEATURE PYRAMID NETWORK (SHIPFPN), A NOVEL DEEP LEARNING ARCHITECTURE THAT INTEGRATES SPECTRAL CONVOLUTIONS, ADAPTIVE FEATURE PYRAMIDS, AND ROBUST DATA AUGMENTATION TECHNIQUES TO ENHANCE DETECTION ACCURACY AND GENERALIZABILITY. SHIPFPN IS EVALUATED ON THE SHIPRSIMAGENET DATASET, DEMONSTRATING SIGNIFICANT IMPROVEMENTS OVER EXISTING FPN-BASED MODELS IN PRECISION, RECALL, AND GENERALIZED INTERSECTION OVER UNION (GIOU). WHILE THIS STUDY FOCUSES ON SHIP DETECTION, SHIPFPN’S ARCHITECTURE IS DESIGNED TO BE ADAPTABLE FOR DETECTING OTHER MARITIME OBJECTS. BY IMPROVING THE ACCURACY AND ROBUSTNESS OF SHIP DETECTION, THIS WORK CONTRIBUTES TO ENHANCED MARINE TRAFFIC MONITORING, ENVIRONMENTAL PROTECTION, AND CLIMATE RESILIENCE IN SATELLITE-BASED REMOTE SENSING.",NA,NA,NA,0,NA
"10.1049/cvi2.70007",2025,"LU Z;SUN L;LV P;HAO J;TANG B;CHEN X","A NEW LARGE-SCALE DATASET FOR MARINE VESSEL RE-IDENTIFICATION BASED ON SWIN TRANSFORMER NETWORK IN OCEAN SURVEILLANCE SCENARIO","IET COMPUTER VISION","IN RECENT YEARS, THERE HAS BEEN AN UPWARD TREND THAT MARINE VESSELS, AN IMPORTANT OBJECT CATEGORY IN MARINE MONITORING, HAVE GRADUALLY BECOME A RESEARCH FOCAL POINT IN THE FIELD OF COMPUTER VISION, SUCH AS DETECTION, TRACKING, AND CLASSIFICATION. AMONG THEM, MARINE VESSEL RE-IDENTIFICATION (RE-ID) EMERGES AS A SIGNIFICANT FRONTIER RESEARCH TOPICS, WHICH NOT ONLY FACES THE DUAL CHALLENGE OF HUGE INTRA-CLASS AND SMALL INTER-CLASS DIFFERENCES, BUT ALSO HAS COMPLEX ENVIRONMENTAL INTERFERENCE IN THE PORT MONITORING SCENARIOS. TO PROPEL ADVANCEMENTS IN MARINE VESSEL RE-ID TECHNOLOGY, SWINTRANSREID, A FRAMEWORK GROUNDED IN THE SWIN TRANSFORMER FOR MARINE VESSEL RE-ID, IS INTRODUCED. SPECIFICALLY, THE PROJECT INITIALLY ENCODES THE TRIPLET IMAGES SEPARATELY AS A SEQUENCE OF BLOCKS AND CONSTRUCT A BASELINE MODEL LEVERAGING THE SWIN TRANSFORMER, ACHIEVING BETTER PERFORMANCE ON THE RE-ID BENCHMARK DATASET IN COMPARISON TO CONVOLUTION NEURAL NETWORK (CNN)-BASED APPROACHES. AND IT INTRODUCES SIDE INFORMATION EMBEDDING (SIE) TO FURTHER ENHANCE THE ROBUST FEATURE-LEARNING CAPABILITIES OF SWIN TRANSFORMER, THUS, INTEGRATING NON-VISUAL CUES (ORIENTATION AND TYPE OF VESSEL) AND OTHER AUXILIARY INFORMATION (HULL COLOUR) THROUGH THE INSERTION OF LEARNABLE EMBEDDING MODULES. ADDITIONALLY, THE PROJECT PRESENTS VESSELREID-1656, THE FIRST ANNOTATED LARGE-SCALE BENCHMARK DATASET FOR VESSEL RE-ID IN REAL-WORLD OCEAN SURVEILLANCE, COMPRISING 135,866 IMAGES OF 1656 VESSELS ALONG WITH 5 ORIENTATIONS, 12 TYPES, AND 17 COLOURS. THE PROPOSED METHOD ACHIEVES 87.1 \TEXTBACKSLASH\%\TEXTBACKSLASH MAP AND 96.1 \TEXTBACKSLASH\%\TEXTBACKSLASH RANK-1 ACCURACY ON THE NEWLY-LABELLED CHALLENGING DATASET, WHICH SURPASSES THE STATE-OF-THE-ART (SOTA) METHOD BY 1.9 \TEXTBACKSLASH\%\TEXTBACKSLASH MAP REGARDING TO PERFORMANCE. MOREOVER, EXTENSIVE EMPIRICAL RESULTS DEMONSTRATE THE SUPERIORITY OF THE PROPOSED SWINTRANSREID ON THE PERSON MARKET-1501 DATASET, VEHICLE VERI-776 DATASET, AND BOAT RE-ID VESSEL DATASET.",NA,NA,NA,10,NA
"10.1049/icp.2021.0616",2020,"WANG Y;ZHAO T;SHI Z","MULTI-SCALE AND DENSELY ARRANGED TARGET DETECTION IN SAR IMAGES WITH A GATED FEATURE PYRAMID NETWORK AND ORIENTED BOUNDING BOXES","IET CONFERENCE PROCEEDINGS","TARGET DETECTION IN SAR IMAGES PLAYS AN IMPORTANT ROLE IN REMOTE SENSING, BUT STILL PRESENTS MANY CHALLENGES IN THE DEEP LEARNING ERA. THE DEEP LEARNING-BASED DETECTOR PERFORMS WELL. HOWEVER, THE RESULTS ALSO SHOWED THAT THE FASTER R-CNN DETECTOR IS NOT ABLE TO DETECT SHIPS OF DIFFERENT SIZES AND THOSE THAT ARE DENSELY ARRANGED NEAR THE SHORE. IN ORDER TO SOLVE THE TWO PROBLEMS ABOVE, WE PROPOSE A DETECTOR WITH A GATED FEATURE PYRAMID NETWORK AND ORIENTED BOUNDING BOXES. THE GATED FEATURE PYRAMID NETWORK CAN SELECTIVELY BUILD A FEATURE PYRAMID WITH CHANNEL-WISE AND SPACE-WISE ATTENTION MODULES. CHANNEL-WISE ATTENTION CAN BE VIEWED AS THE PROCESS OF SELECTING SEMANTIC ATTRIBUTES TO DETECT SHIPS WITH DIFFERENT SCALES. THIS IS HELPFUL FOR CLASSIFICATION. SPACE-WISE ATTENTION PAYS MORE ATTENTION TO THE SEMANTIC-RELATED REGIONS. THIS IS HELPFUL FOR LOCALIZATION. THE ORIENTED BOUNDING BOXES CAN LOCATE SHIPS TIGHTLY AND THUS RECOGNIZE AND LOCATE THEM WITH A HIGH LEVEL OF ACCURACY, ESPECIALLY FOR THE DENSELY ARRANGED SHIPS. THE ANCHORS ARE ALSO REDESIGNED TO BEST FIT SHIPS IN SSDD+. ORIENTED REGION-OF-INTEREST ALIGNING IS USED TO GENERATE A FIXED-LENGTH VECTOR WITHOUT MISALIGNMENT ON SMALL SHIPS. ANGLE-RELATED INTERSECTION-OF-UNION IS USED TO PREPARE POSITIVE AND NEGATIVE ORIENTED PROPOSALS. IT CAN COMPUTE THE REAL OVERLAP OF TWO ORIENTED BOUNDING BOXES. THE MULTI-TASK LOSS FUNCTION WITH ANGLE INFORMATION IS USED TO TRAIN THE MODEL. THE RESULTS OF SSDD+ SHOW THAT THE PROPOSED DETECTOR CAN ADAPT TO COMPLEX SITUATIONS WITH MULTI-SCALE AND DENSELY ARRANGED SHIPS. © 2020 IET CONFERENCE PROCEEDINGS. ALL RIGHTS RESERVED.","CONFERENCE PAPER",NA,"ATTENTION; DEEP LEARNING; FEATURE PYRAMID NETWORKS; SAR IMAGE; SHIP DETECTION",0,NA
"10.1080/01431161.2021.1931544",2022,"LI X;LI Z;LV S;CAO J;PAN M;MA Q;YU H;MONTH = A","SHIP DETECTION OF OPTICAL REMOTE SENSING IMAGE IN MULTIPLE SCENES","INTERNATIONAL JOURNAL OF REMOTE SENSING","IN VIEW OF CHARACTERISTICS OF THE SHIP IN THE OPTICAL REMOTE-SENSING IMAGE, SUCH AS MULTIPLE DIMENSIONS, MAJORITY OF SMALL OBJECTS, CROWDED ARRANGEMENT AND COMPLEX BACKGROUND, AND SO ON, THE PAPER PRESENTS A SHIP DETECTION FRAMEWORK COMBINING THE NETWORK-FUSING MULTI-LEVEL FEATURES CROSSING LEVELS, THE ROTATION REGION PROPOSAL NETWORK AND THE BIDIRECTIONAL RECURRENT NEURAL NETWORK FUSING SELF-ATTENTION MECHANISM. FIRSTLY, WE SET UP A NETWORK FUSING MULTI-LEVEL FEATURES CROSSING LEVELS BECAUSE OF THE MULTIPLE SCALES AND DIVERSE CHARACTERISTICS OF THE REMOTE-SENSING SHIPS TO INCREASE THE PRECISION OF FEATURE EXTRACTION OF THE SHIP, THUS IMPROVING THE PERFORMANCE IN THE MULTIPLE SCALES, SMALL OBJECTS, AND COMPLEX BACKGROUND PROBLEMS. SECONDLY, WE SEPARATELY DESIGN THE ROI POOLING LAYER AND THE BIDIRECTIONAL RECURRENT NEURAL NETWORK FUSING SELF-ATTENTION MECHANISM, WHICH INFUSES THE PRIOR INFORMATION OF SHIP DIMENSION AND POSITION TO REALIZE A GOOD PERFORMANCE AND PRECISE SHIP POSITIONING IN CROWDED SCENES. FINALLY, WE VERIFY THE EFFECTIVENESS OF THE PROPOSED METHOD THROUGH EXPERIMENTS, THE EXPERIMENTAL DATASET INCLUDES THE PRIVATE DATASET DESIGNED BY US BASED ON GOOGLE EARTH, THE SHIP DATASET IN DOTA-SHIP AND HRSC2016 PUBLIC SHIP DATASET. THE RESULTS VERIFY THE CONTRIBUTIONS OF EACH PROPOSED MODULE, AND THE COMPARISON RESULTS SHOW THAT OUR PROPOSED METHOD HAS A STATE-OF-THE-ART PERFORMANCE.",NA,NA,NA,10,NA
"10.1080/01431161.2021.1986238",2022,"WANG M;WANG J;LIU C;LI F;WANG Z","SPATIAL-COORDINATE ATTENTION AND MULTI-PATH RESIDUAL BLOCK BASED ORIENTED OBJECT DETECTION IN REMOTE SENSING IMAGES","INTERNATIONAL JOURNAL OF REMOTE SENSING","REMOTE SENSING IMAGES HAVE BEEN WIDELY USED IN VARIOUS FIELDS DUE TO THE GREAT SUCCESS OF DEEP LEARNING. HOWEVER, AS THE BASIS OF OTHER TASKS, REMOTE SENSING IMAGE OBJECT DETECTION IS STILL CHALLENGING. IN THIS PAPER, WE PROPOSE A SPATIAL-COORDINATE ATTENTION (SCA) AND MULTI-PATH RESIDUAL BLOCK (MPRB) GUIDED ORIENTED OBJECT DETECTION ALGORITHM BASED ON AN EXTENDED RESNET-18 BACKBONE NETWORK. FOR SPECIALLY, WE FIRST MODIFY THE COORDINATE ATTENTION MODULE AND SPATIAL ATTENTION MODULE THROUGH A MULTI-BRANCH MANNER, AND THEN COMBINE THEM TO GENERATE THE NEW SPATIAL-COORDINATE ATTENTION MODULE. IN THIS MODULE, THE CHANNEL INFORMATION, LOCATION INFORMATION AND SPATIAL INFORMATION ARE INTEGRATED TO ENHANCE THE REPRESENTATIVE CAPABILITY OF THE OBJECT. AFTER THIS, IN ORDER TO FURTHER IMPROVE THE FEATURE REPRESENTATIVE POWER OF A SHALLOW CNN, SUCH AS RESNET-18. WE INCREASE THE RESIDUAL CONNECTION IN THE RESIDUAL BLOCK AND DESIGNED A MULTI-PATH RESIDUAL BLOCK TO MAKE IT MORE POWERFUL. MOREOVER, WE ALSO INTRODUCE A NEW SKIP-CONNECTION ARCHITECTURE INTO THE UPSAMPLING PROCESS TO ENSURE THAT THE PREDICTED FEATURE MAP CAN INTEGRATE HIGH-LEVEL AND LOW-LEVEL SEMANTIC INFORMATION. WE CONDUCT EXPERIMENTS ON THE OPTICAL REMOTE SENSING IMAGE DATASET UCAS-AOD, HRSC2016 AND THE SAR AERIAL DATASET SSDD. EXPERIMENTS SHOW THE EFFECTIVENESS AND FEASIBILITY OF THE ALGORITHM IN THIS PAPER.","ARTICLE",NA,NA,4,"REMOTE SENSING; IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY"
"10.1080/01490419.2024.2392121",2024,"Y. S;C. S;MONTH = N","UTILIZING ELEPHANT HERD-INSPIRED SPIKING NEURAL NETWORKS FOR ENHANCED SHIP DETECTION AND CLASSIFICATION IN MARINE SCENE MATCHING","MARINE GEODESY","IN THE REALM OF MARINE INTELLIGENCE, EFFECTIVE SHIP CLASSIFICATION ACROSS VAST OCEANIC EXPANSES IS PIVOTAL. DESPITE STRIDES IN CONVENTIONAL IDENTIFICATION TECHNIQUES, EXISTING METHODS EXHIBIT LIMITATIONS IN TERMS OF EFFECTIVENESS, ROBUSTNESS, AND OVERALL PERFORMANCE. THIS PAPER INTRODUCES A NOVEL ELEPHANT HERD OPTIMIZATION BASED SPIKING NEURAL NETWORKS (EHO-SNN) FOR DISCERNING LARGE SHIPS, SMALL VESSELS, AND THE ABSENCE OF SHIPS. INITIAL SATELLITE IMAGES FROM THE AIRBUS DATASET CAPTURE SHIPS AT SEA, SUBJECTED TO PREPROCESSING VIA THE WAVELET TRANSFORM-BASED RETINEX ALGORITHM (WRA) TO ELIMINATE NOISE AND FOG ARTIFACTS. DEEP LEARNING MOBILE NET FACILITATES FEATURE EXTRACTION, WHILE THE ELEPHANT HERD ALGORITHM CULLS IRRELEVANT FEATURES, HONING IN ON THE MOST PERTINENT ONES. FINALLY, THE CLASSIFICATION THROUGH A SPIKING NEURAL NETWORK, DISTINGUISHING BETWEEN LARGE SHIPS, SMALL VESSELS, AND THE ABSENCE OF SHIPS. DETECTED LARGE AND SMALL SHIPS ARE ACCURATELY POSITIONED WITHIN A SELECTED SCENE, WHILE THE ABSENCE OF A SHIP TERMINATES THE PROCESS. THE PROPOSED EHO-SNN MODEL ATTAINS AN IMPRESSIVE CLASSIFICATION ACCURACY OF 99.10\%. NOTABLY, IT SURPASSES OMRCNN-SHD, EFFICIENT NET, AND AN-YOLOV4 BY 1.15\%, 12.30\%, AND 7.79\%, RESPECTIVELY, THEREBY ADVANCING OVERALL ACCURACY IN SHIP CLASSIFICATION.",NA,NA,NA,10,NA
"10.1080/01969722.2022.2145655",2024,"JOSEPH S;PANDIARAJ N;SARVESHWARAN V;MYTHILY M","SHIP DETECTION AND CLASSIFICATION USING HYBRID OPTIMIZATION ENABLED DEEP LEARNING APPROACH BY REMOTE SENSING IMAGES","CYBERNETICS AND SYSTEMS","THE RECOGNITION AND CATEGORIZATION OF SHIPS IS VERY SIGNIFICANT FOR MARITIME SECURITY AND DEFENSE BOARD. THE EXISTING SAR IMAGE-ORIENTED SHIP RECOGNITION TECHNIQUES ARE NOT CAPABLE OF REAL-TIME APPLICATIONS SINCE THE COUNT OF SAR SENSORS IS SPARSE AND THE CONTRAST OF IMAGES IS MINIMUM. TO COPE UP WITH CERTAIN ISSUES, THIS ARTICLE DESIGNS AN EFFICIENT TECHNIQUE FOR SHIP DETECTION AND CLASSIFICATION BY INTRODUCING HYBRID OPTIMIZATION-BASED DEEP LEARNING TECHNIQUE. HERE, SEGMENTATION IS DONE USING BOUNDING BOX SEGMENTATION. THE SHIPS ON THE OCEAN SURFACE ARE EFFECTIVELY DETECTED USING DEEP CONVOLUTIONAL NEURAL NETWORK, WHERE THE NETWORK IS TRAINED UTILIZING DEVISED EXPONENTIAL MAYFLY OPTIMIZATION ALGORITHM (EMO). THE NEWLY DESIGNED EMO IS DERIVED BY THE COMBINATION OF THE EXPONENTIAL WEIGHTED MOVING AVERAGE (EWMA) AND MAYFLY OPTIMIZATION ALGORITHM (MA). THE TYPE OF SHIPS IS CLASSIFIED EFFECTIVELY UTILIZING DEEP RESIDUAL NEURAL NETWORK (DRN) AND THE NETWORK IS TRAINED BY INTRODUCING THE PROPOSED POLITICAL EXPONENTIAL MAYFLY OPTIMIZATION ALGORITHM (POEMO).","ARTICLE",NA,"DEEP CONVOLUTIONAL NEURAL NETWORK (CNN); DEEP RESIDUAL NETWORK (DRN); EXPONENTIAL WEIGHTED MOVING AVERAGE (EWMA); POLITICAL OPTIMIZER (PO); REMOTE SENSING IMAGES (RSI)",1,"COMPUTER SCIENCE"
"10.1080/01969722.2022.2145655",2024,"SWAMIDASON S;SHANTHINI P N;SARVESHWARAN V;MYTHILY M","SHIP DETECTION AND CLASSIFICATION USING HYBRID OPTIMIZATION ENABLED DEEP LEARNING APPROACH BY REMOTE SENSING IMAGES","CYBERNETICS AND SYSTEMS","THE RECOGNITION AND CATEGORIZATION OF SHIPS IS VERY SIGNIFICANT FOR MARITIME SECURITY AND DEFENSE BOARD. THE EXISTING SAR IMAGE-ORIENTED SHIP RECOGNITION TECHNIQUES ARE NOT CAPABLE OF REAL-TIME APPLICATIONS SINCE THE COUNT OF SAR SENSORS IS SPARSE AND THE CONTRAST OF IMAGES IS MINIMUM. TO COPE UP WITH CERTAIN ISSUES, THIS ARTICLE DESIGNS AN EFFICIENT TECHNIQUE FOR SHIP DETECTION AND CLASSIFICATION BY INTRODUCING HYBRID OPTIMIZATION-BASED DEEP LEARNING TECHNIQUE. HERE, SEGMENTATION IS DONE USING BOUNDING BOX SEGMENTATION. THE SHIPS ON THE OCEAN SURFACE ARE EFFECTIVELY DETECTED USING DEEP CONVOLUTIONAL NEURAL NETWORK, WHERE THE NETWORK IS TRAINED UTILIZING DEVISED EXPONENTIAL MAYFLY OPTIMIZATION ALGORITHM (EMO). THE NEWLY DESIGNED EMO IS DERIVED BY THE COMBINATION OF THE EXPONENTIAL WEIGHTED MOVING AVERAGE (EWMA) AND MAYFLY OPTIMIZATION ALGORITHM (MA). THE TYPE OF SHIPS IS CLASSIFIED EFFECTIVELY UTILIZING DEEP RESIDUAL NEURAL NETWORK (DRN) AND THE NETWORK IS TRAINED BY INTRODUCING THE PROPOSED POLITICAL EXPONENTIAL MAYFLY OPTIMIZATION ALGORITHM (POEMO). © 2023 TAYLOR & FRANCIS GROUP, LLC.","ARTICLE",NA,"DEEP CONVOLUTIONAL NEURAL NETWORK (CNN); DEEP RESIDUAL NETWORK (DRN); EXPONENTIAL WEIGHTED MOVING AVERAGE (EWMA); POLITICAL OPTIMIZER (PO); REMOTE SENSING IMAGES (RSI)",2,NA
"10.1080/10095020.2024.2331552",2025,"WANG F;YU D;HUANG L;ZHANG Y;CHEN Y;WANG Z;MONTH = M","FINE-GRAINED SHIP IMAGE CLASSIFICATION AND DETECTION BASED ON A VISION TRANSFORMER AND MULTI-GRAIN FEATURE VECTOR FPN MODEL","GEO-SPATIAL INFORMATION SCIENCE","IN NAVAL AND CIVILIAN DOMAINS, METICULOUS SHIP CLASSIFICATION AND DETECTION ARE PARAMOUNT. NEVERTHELESS, PREDOMINANT RESEARCH HAS GRAVITATED TOWARD LEVERAGING CONVOLUTIONAL NEURAL NETWORK (CNN)-CENTERED METHODOLOGIES, OFTEN OVERLOOKING THE DIVERSE GRANULARITY INHERENT IN SHIP SAMPLES. IN OUR PURSUIT TO HOLISTICALLY EXTRACT FEATURES FROM SHIP IMAGES ACROSS VARYING GRANULARITIES, WE PRESENT A TRANSFORMATIVE ARCHITECTURE: THE VISION TRANSFORMER AND MULTI-GRAIN FEATURE VECTOR FEATURE PYRAMID NETWORK (VIT-MGFV-FPN). THIS MODEL SYNERGISTICALLY MELDS THE MERITS OF MGFV-FPN WITH AN AUGMENTED VISION TRANSFORMER (VIT) FOR A COMPREHENSIVE IMAGE FEATURE EXTRACTION. TO CATER TO THE EXTRACTION OF BROADER IMAGE FEATURES WHILST SIDESTEPPING THE INNATE QUADRATIC COMPLEXITY OF TRADITIONAL VIT, WE UNVEIL AN ENHANCED VERSION CHRISTENED THE GLOBAL SWIN TRANSFORMER. CONCURRENTLY, THE MGFV-FPN IS ORCHESTRATED TO HARNESS THE PROWESS OF CNNS IN DISTILLING INTRICATE SHIP ATTRIBUTES. RIGOROUS EMPIRICAL EVALUATIONS UNDERSCORE OUR MODEL’S SUPERIORITY IN JUXTAPOSITION WITH EXTANT CNN AND TRANSFORMER-BASED PARADIGMS FOR NUANCED SHIP CATEGORIZATION.",NA,NA,NA,10,NA
