ID,Year,Month,Authors,ImpModel,Title,Journal,ReviewOrResearch,ModelClass,ModelBase,ModelBackbone,ModelNeck,ModelHead,ModelInputSize,Dataset,SpacialResMin,SpacialResMax,SpectralRes,ImageSize,ImageProcessing,Hardware,Strengths,Weaknesses,Code,Small
12,2025,8,Mbietieu,ShipFPN,ShipFPN architecture for object detection in high resolution satellite images,ScienceRemote Sensing,research,other,ResNet,ResNet,ShipFPN (Adaptive FPN + Spectral Convolutions + Spatial Attention),"Oriented Object Detection Head (OBB-based, GIoU regression)",NA,ShipRSImageNet,NA,NA,NA,NA,Applying geometric transformations (scaling/rotation) to existing ship images; Using Generative Adversarial Networks (GANs) to create realistic synthetic images; Augmenting dataset diversity with spectral variations,NA,Captures spectral information to improve feature representation; Introduces a novel multiscale-adaptive formula for feature pyramid level; Generates synthetic data to improve model robustness; Utilizes OBB for better ship localization,Increased computational cost for spectral convolutions,not provided,FALSE
13,2025,6,Gong et al,DUONet,Discover the Unknown Ones in Fine Grained Ship Detection,IEEE TGRS,research,two stage,FasterRCNN,NA,FPN,RRoI Head + (K+1)-way cosine classifier + UAUL + FGCL,NA,ShipRSImageNet/DOSR/HRSC2016,NA,NA,NA,NA,NA,1× NVIDIA RTX5000 16GB on Ubuntu 22.04,Strong unknown ship detection; handles fine-grained classes; reduces long-tail impact; high discrimination; oriented boxes,"Higher complexity; lower performance on dense small-target datasets (e.g., DOSR); relies on multiple training losses",https://github.com/FoRGEU/DUONet,FALSE
14,2025,5,Yang et al,HMSNet,A Hierarchical Multilabel Fine Grained Ship Detection Network in RS Images,IEEE JSTAEORS,research,two stage,NA,NA,Feature Pyramid Network (FPN),"RPN; RoI; Multiscale Region Feature Re-extraction (MRFR), Feature Guidance (FG), Classification/Regression heads",800x512/1024x1024,HRSC2016/ShipRSImageNet,NA,NA,NA,NA,Resizing; Multiaxis random flipping (H/V/D with 25% probability); Channel-wise normalization; Zero-padding alignment to the nearest multiple of 32 pixels,NA,"Integrates hierarchical multilabel classification with fine-grained ship detection; Parallel multilevel semantic feature extraction allows independent optimization of features for different levels, preventing error propagation common in chained structures; Feature Guidance (FG) module enables efficient top-down knowledge transfer from coarse to fine granularity; Hierarchical relationship constraint loss function explicitly models interclass relationships (D1 < D2 < D3); Plug-and-play versatility: proven to improve performance when integrated into various two-stage frameworks (RoITrans, Gliding Vertex, ReDet, OR R-CNN); Significant performance gains: +12.2% mAP on HRSC2016 and +3.9% mAP on ShipRSImageNet over baselines","Relies on a rigid tree-structured hierarchy, which struggles with classes that fit multiple parents or have ambiguous definitions; Annotation inconsistencies or ambiguous assignments in datasets can cause error propagation; Limited spatial resolution in images can lead to class confusion, which the model attempts to force-predict; Inherently slower inference speeds due to the two-stage framework architecture, limiting time-sensitive operational use",not provided,FALSE
15,2025,4,Ding Wen,BALF,Edge aware Feature Learning for Fine grained Ship Detection in High resolution Satellite Images,SPIE ERSGIT,research,two stage,OrientedRCNN,"backbone; Edge Reconstruction (ER) Module, and Edge Attention Module (EAM)",Feature Pyramid Network (FPN),Local Association (LA) Module,1024x1024,MCSD/ShipRSImageNet,0.25m,2m,NA,NA,Resizing,Single NVIDIA RTX 3060 GPU,"Mitigates the loss of ship detail in deep networks by generating edge attention using pseudo labels. Furthermore, the method employs a specialized detection head to capture the relationships between local regions within each ROI, enhancing the accuracy of fine-grained object detection",Computational complexity remains relatively high,not provided,FALSE
16,2024,12,Li et al,SAFPN,Fine Grained Ship Recognition With Spatial Aligned FPN and APCL,IEEE TGRS,research,two stage,OrientedRCNN,"ResNet50, pretrained on the ImageNet dataset",Spatial-Aware Alignment Fusion Model (SAFPN); Oriented-RPN; Rotated-ROI Align,Adaptive Prototypical Contrast Learning (APCL),NA,FGSD/ShipRSImageNet,1 m/pixel (GSD for FGSD),1 m/pixel (GSD for FGSD),NA,"Width varies 157-7789 pixels, average width of 1202 pixels. Height 224-6506 pixels, with an average height of 1205 pixels; Most are of 930 × 930 pixels, max width of 1238, max height of 930",NA,NVIDIA RTX 3090 GPU,"Specifically designed for fine-grained ship recognition. SAFPN incorporates a spatial-aligned module to fuse adjacent-scale features, thereby significantly enriching the quality of fine-grained features. APCL contributes to the extraction of features characterized by strong category separability. APCL enhances category separability of ship features, addressing high intraclass diversity and interclass similarity",Marginal increase in computational and parameter overhead,https://github.com/liyangfan0/Fine-Grained-Ship-Recognition,FALSE
17,2024,9,Hong et al,RShipDet,Ship detection in reefs and deep sea with medium high resolution images,GIS,research,two stage,ReDet,"# Uses the Rotation-equivariant backbone from ReDet, but the specific network is not named",Feature Pyramid Network (FPN),Rotation-invariant Rol Align (RiRol Align) with an enhancement of Overlap Blocking,NA,Sentinel2-Ship/SDGSATShip(custom),1.5 m (Airbus),10 m,Sentinel-2 MSI B2; B3; B4 and SDGSAT-1 MII B2; B4; B5 data used to produce Sentinel2-Ship and SDGSAT-Ship datasets,996 × 988 (Sentinel2-Ship); 512 × 512 (SDGSAT-Ship); 768 × 768 (Airbus),Mosaic augmentations; Fine-to-coarse training; Dark area suppression; Bright area enhancement,1 x NVIDIA GeForce RTX 4090 GPU,"Detecting small ships in medium-high resolution imagery with three improvements, enhancing the detection performance for small ships; Better performance under complex conditions (cloud cover, reefs, deep-sea, ports); Inference is 11 times faster than using 3m resolution imagery; Enhanced performance and stability from pretraining plus mosaic augmentation","For large ships, the mosaic augmentation technique sometimes hindered detection",https://github.com/hongxrsysu/autodetect_ship,TRUE
18,2024,4,Chen et al,P2RNet,Fast Maritime Object Detection From Key Points to Region Proposals in Large Scale RS Images,IEEE JSTAEORS,research,two stage,YOLOv5,ResNet18 of the key point extraction network; MobileNetv2 constructed by the grouped sandglass block (G-SB) is used as the backbone of the lightweight object detection network,"PAN constructed by ConvBNSiLU, S-C3 and  Oriented Spatial Pyramid Pooling-Fast (O-SPPF)",YOLOv5 head,1024x1024,DOTAShip,NA,NA,NA,1024 x 1024 pixels,Resizing,Intel Core i7 10700F CPU NVIDIA GeForce RTX 3070 GPU 32-GB memory,"Achieves a good balance between speed and accuracy; Fast detection speed due to the two-phase structure and lightweight backbone (Improved MobileNetv2); The Key Point Extraction Network effectively screens objects of interest, making it suitable for large-scale images; The Region Proposal Generator efficiently divides key points into regions, reducing false alarms; The Simple Attention Module (SAM) improves detection accuracy by strengthening feature information in the fusion network","The two-phase structure adds complexity to the overall pipeline; Performance may be limited by the MobileNetv2 architecture in complex environments compared to larger backbones (e.g., ResNet)",not provided,FALSE
19,2024,2,Yang et al,SLTNet,Enhanced Mask RCNN network for ship long tailed detection,IEEE IESAONCON,research,two stage,NA,ResLT (modified ResNet-101 for long-tailed detection),Feature Pyramid Network (FPN),NA,800×600,ImageNet(pre-training)/ShipRSImageNet(evaluation),NA,NA,NA,NA,Data augmentation,IntelCoreTM i9-10940X CPU NVIDIA GTX3090 GPU 24GB GPU,Specifically designed to address the long-tailed distribution problem in ship detection,The complexity of implementing the Mutual Information (MI) Loss adds to the training pipeline,not provided,FALSE
20,2024,2,Liu et al,SFINet,An Oriented Fine Grained Ship Identification Network Based on RS Image,Springer ICIVIS,research,two stage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not provided,FALSE
21,2024,1,Hong et al,RShipDet,Robust DL Ship Detector for Medium High Resolution Images,SSRN,research,two stage,ReDet,NA,Feature Pyramid Network (FPN),AutoMatic Ship Detector (AMSD),NA,KaggleAirbusShip(pre-training)/Sentinel2-Ship(training)/SDGSATShip(fine-tuning)/enhancedSentinel-2(inference),10 m,30 m,"Sentinel-2 MSI images B2,B3,B4; SDGSAT-1 MII images B2, B4, B5",Airbus-Ship: 768x768 (42566 images); Sentinel2-Ship: 996x988 (668 images); SDGSAT-Ship: 512x512 (238 images),Mosaic augmentation; Overlap; Cropping,AutoDL with RTX A5000 GPU for training/AIE with V100 184 GPU for inference,"Gains of 3.3% AP on Sentinel2-Ship dataset compared to ReDet; Strong generalization capabilities, achieving 77.4% AP on SDGSAT-Ship dataset; Accurate and robust discrimination of complex ship aggregations, such as around the Nansha Islands reefs; Enables intelligent robust monitoring of ships in complex ocean environments","The smallest ships detected were less than 3.6 pixels2 (360 m2), whilst the largest exceeded 60 250 pixels2
 (6000 m2)",not provided,TRUE
22,2023,12,Li et al,PETDet,Proposal Enhancement for Two Stage Fine Grained Object Detection,IEEE TGRS,research,two stage,NA,NA,NA,"Quality Oriented Proposal Network (QOPN), Bilinear Channel Fusion Network (BCFN), and Adaptive Recognition Loss (ARL)",1024x1024/800×800/1024×1024,FAIR1M/MAR20/ShipRSImageNet,ShipRSImageNet Dataset: 0.12m; #others are missing,ShipRSImageNet Dataset: 6m; #others are missing,NA,"FAIR1M: 1000 × 1000 to 10,000 × 10,000; MAR20: 800 × 800; ShipRSImageNet: 930 x 930 - 1024 × 1024",NA,4 NVIDIA GeForce RTX3090 GPUs,"Improves fine-grained recognition. Can reduce false negatives in PETDet, particularly for small objects. 2.5% mAP increase over the baseline Oriented R-CNN on the HRSC2016 dataset. 78.4% AP on HRSC2016 and 90.7% AP on ShipRSImageNet with an Oriented R-CNN backbone",Only suitable for two-stage pipeline and only evaluated on large-scale datasets,https://github.com/canoe-Z/PETDet,TRUE
23,2023,9,Chen et al,OSDet,Oriented Ship Detection Based on Expansion Deformation Rotation Representation,ICFEICT,research,two stage,NA,ReResNet,ReFPN,Oriented RPN with EDRR; Oriented R-CNN,800x800/1024x1024,HRSC2016-MS/DOTA,NA,NA,NA,NA,Random flipping; Normalization; Resizing,NVIDIA GeForce RTX 3090 GPU,strong generalization. mAP: 77.5% HRSC2016-MS. 77.14% DOTA,NA,not provided,FALSE
24,2023,6,Yan et al,ReBiDet,An Enhanced Ship Detection Model Utilizing ReDet and Bi Directional Feature Fusion,AppliedSciences,research,two stage,ReDet,ReResNet-50 / ReResNet-101,Bi-directional Feature Fusion (BiFPN-like),NA,NA,DOTA/HRSC2016,NA,NA,NA,DOTA: 800 × 800 to 4000 × 4000; HRSC2016: 300 × 300 to 1500 × 900,NA,AMD Threadripper PRO 5995WX processor 2 NVIDIA GTX3090Ti graphics cards128 GB of memory,"Ability to capture multi-scale features, learn difficult positive samples, and adapt to ship target aspect ratios. Improved AP: +0.71% (ReResNet-50) and +1.68% (ReResNet-101) over ReDet. Small computational cost, while significantly improving detection accuracy",Inference speed not fast enough,https://github.com/YanZeGit/ReBiDet,TRUE
25,2023,3,Qiao et al,R CNN YOLOv5,Enhanced Two stage Ship Detection Algorithm in RS Image,ICAML,research,two stage,CascadeRCNN,ResNet50,NA,YOLOv5 as the first stage detection and simplify the Cascade R-CNN detector head,1024x1024/1536x1536,(custom),NA,NA,NA,16290×2528,NA,Nvidia RTX 3090,AP 97.72,NA,not provided,FALSE
26,2023,2,Guo et al,NA,Fine Grained Ship Detection in High Resolution Satellite Images With Shape Aware Feature Learning,IEEE JSTAEORS,research,two stage,NA,"Ship Instance Switching (SIS): works before the ResNet backbone. The input is the original image and the output is the switched one. For each instance in the input original image, we judge whether its category is rare or not, calculate the size, aspect ratio, and background color of the instance belonging to the rare class, and concatenate these characteristics into KNN [52] for the following instance matching","For each RoI generated by the RPN, instead of just using the single-level FPN feature, shape-aware rotate RoI (SRRA) align is performed on the feature map of each level of the FPN. It takes the shape characteristics into account, paying more attention to the long side to balance the fine-grained features of the short and long sides. Finally, the extracted multilevel features are accumulated together, followed by a spatial attention module to weigh the fused features to guide the learning of the detector",NA,1024×1024,MCSD/ShipRSImageNet,0.25m; 0.12m,2m; 6m,NA,MCSD: 1024×1024 (MCSD); ShipRSImageNet: 930–1024 px (padded to 1024),NA,4x NVIDIA TITAN X GPUs,"Method for ship detection for high aspect-ratio ships, fixing the problem of feature misalignment during RoI assignment and extraction. Shape-aware ship instance switching method to solve the quantity imbalance in different categories. Guarantee the consistency of the ocean background and ship direction when replacing common ship instances with rare ship instances, which greatly improves the network’s learning ability of rare instances. AP gains up to +4.9 (AP75 MCSD), +4.0 (AP50:95 ShipRSImageNet)",No major gains for small ships; relies on expensive directional OBB annotations,https://github.com/GuoBo98/ship-aware-det-code,FALSE
27,2023,1,Nakayama et al,FasterRCNN,Comparing spatial patterns of marine vessels between vessel tracking data and satellite imagery,Frontiers,research,two stage,FasterRCNN,ResNet-50 (pretrained on COCO dataset),NA,The classifier model is a ResNet-50 model pretrained on ImageNet1k and fine-tuned on the same dataset as the Faster R- CNN detector model,299×299×3,(custom),3,3,RGB-NIR,299×299,Manual cropping of land; Grid partitioning; H/V flips; Binary classifier pre-filtering; Balanced sampling,NA,AP = 0.72; F1 = 0.84; Precision = 0.87; Recall = 0.80,Small dataset; low resolution limits classification; IoU threshold extremely low (0.1); lacks generalizability beyond studied region,https://github.com/stanford-cos/lgcp,TRUE
28,2023,1,Abhinaba Jidesh,NA,Detection and Classification of Ships using a self attention Residual Network,IEEE CICT,research,two stage,FasterRCNN,Residual Attention based CNN,NA,NA,224x224,ShipRSImageNet,NA,NA,NA,930x930,Rotation 60°; H/V flips; width/height shift 0.3,Intel Core i5 7th Gen 7300HQ processor of 2.5 GHz with 8GB of RAM 4GB of NVIDIA GeForce GTX 1050 GPU,mAP = 0.655 (state-of-the-art improvement); better classification via attention,Two-step training (backbone then Faster R-CNN); longer training/validation time,not provided,FALSE
29,2022,10,Han et al,EIRNet  Mask RPN,Fine Grained Recognition for Oriented Ship Against Complex Scenes in Optical RS Images,IEEE TGRS,research,two stage,NA,ResNet-101,DFF-Net (Dense Feature Fusion Network) + Dual-Mask Attention (DMAM),Mask-RPN + C5 block,600-1000x,DOSR(custom)/HRSC2016,0.5m (DOSR),2.5m (DOSR),NA,600–1300 px (DOSR),H/V flips; Resizing; Mask generation via DMAM,Nvidia GTX 1080Ti GPU with 11-GB,"DOSR_mAP = 61.39%; HRSC2016_mAP = 82.96%; State-of-the-art on both datasets; Strong performance on dense, clutter, and small-ship scenes",Sensitive to NMS threshold in high-aspect-ratio ships; Class imbalance issues in DOSR; Fine-grained categories with strong inter-class similarity remain challenging,https://github.com/yaqihan-9898/EIRNet,TRUE
30,2022,9,Jian et al,SSRCNN,Self Supervised Learning Improving Mask R CNN for Ship Detection in RS Images,Remote Sensing,research,two stage,MaskRCNN,ResNet-50 (pretrained via more-way CutPaste self-supervised task),Modified FPN (P2–P4 only),NA,768x768/1024x1024,KaggleAirbusShip,NA,NA,RGB,768x768,More-way CutPaste self-supervised augmentation; Block scar 3-way CutPaste (for comparison); Color jitter; Rotation; Scaling; Paste operations; COCO format conversion via FiftyOne,Tesla V100 GPU for training/Google Colab Tesla P100 GPU for fine-tuning,AP  = 0.622; AP50 = 0.758; AP75 = 0.658; APs  = 0.620; APm  = 0.723; APl  = 0.158. Significant improvement over supervised Mask R-CNN and SSD; Large boost for small-ship detection; Self-supervised: Effective with very limited labeled data,"Poor performance on large ships. Lack of training instances with large ships, considering that the proportion of training images with large ships is only 10% in the experiments. Anchor-size sensitivity: setting of the hyper-parameter of the sizes of the candidate anchor frames.",https://github.com/REAL-Madrid01/Remote_GDJC,TRUE
31,2022,8,Zhang et al,OSCDNet,Oriented Ship Detection Based on Intersecting Circle and Deformable RoI in RS Images,Remote Sensing,research,two stage,FasterRCNN,ResNet-101,FPN (Feature Pyramid Network),ICR-head (Intersecting Circle Rotated detection head) + Double-head (fc-head + conv-head),1000×1000,DOTAShip/HRSC2016/SSDD,0.4 m (HRSC2016),2 m (HRSC2016),"Optical RGB (HRSC2016, DOTA-Ship); SAR (SSDD+)",HRSC2016: 300×300 to 1500×900; DOTA-Ship: 800–4000 px (cropped to 1000×1000); SSDD+: varied SAR resolutions,Flipping; Cropping,Two NVIDIA GeForce GTX 2080 Ti GPUs,"HRSC2016_AP07 = 89.98, HRSC2016_AP12 = 93.52, DOTA_Ship_AP07 = 67.95, SSDDplus_AP07 = 82.90, SSDDplus_AP12 = 84.52. State-of-the-art or superior performance across datasets. Strong handling of long aspect-ratio ships. More accurate orientation prediction than angle-regression methods",Struggles with very small and densely packed ships (noted in DOTA-Ship). Complex multi-branch head increases computational cost. Circle–rectangle intersection may fail for horizontally placed ships (requires special case handling,not provided,FALSE
32,2022,2,Dong et al,CNNAOOF,Multi OOD in High Resolution RS Imagery Based on CNNs,Remote Sensing,research,two stage,NA,darknet-53,Feature-Attentioned Feature Pyramid Network (FPN),Adaptive Object Orientation Regression (AOOF),416x416,WHURSONE-OBB/UCAS-AOD/HRSC2016/DOTA,WHURSONE-OBB: 0.5; UCAS-AOD: ;HRSC2016: ;DOTA:,WHURSONE-OBB: 0.8; UCAS-AOD: ;HRSC2016: ;DOTA:,NA,WHURSONE-OBB: 600x600; 1372x1024; UCAS-AOD: 1280x659; 1372x941; HRSC2016: ;DOTA:,NA,Server with Inter(R) Xeon(R) CPU E5-2667 v4 @ 3.20 GHz NVIDIA Quadro M4000 8 GB GPU memory 16 GB RAM Windows 10 operating system.,Detect objects with large aspect ratios and densely distributed objects.,Not optimized for small-object detection,only the datasets,FALSE
33,2021,8,Li et al,NA,Domain Adaptive Ship Detection in Optical RS Images,Remote Sensing,research,two stage,NA,ResNet-50,NA,NA,600x600,HRSC2016/KaggleAirBusShip/SyntheticDataset,NA,NA,NA,NA,NA,NVIDIA GTX 1080 Ti,Cross-domain generalization ability; Improves detection on target datasets without labels; Handles background shift and style discrepancies,Performance drops for small ships in cluttered scenes,not provided,FALSE
34,2021,4,Tian et al,YOLOv3 Mask R CNN,Image Enhancement Driven by Object Characteristics and Dense Feature Reuse Network for Ship Target Detection in RS Imagery multiscale,Remote Sensing,research,two stage,YOLOv3/MaskRCNN,DarkNet-53 (for YOLOv3); ResNet-50 (for Mask-RCNN),FPN (Feature Pyramid Network; RFE (Receptive Field Expansion) module; ASPP (Atrous Spatial Pyramid Pooling,YOLOv3 Regression Head; Mask-RCNN Head (RPN + RoI),1024x1024,ChangGuang/SSDD,ChangGuang: NA; SSD:1m,ChangGuang: NA; SSD:15m,NA,ChangGuang: 8096x2048; SSD:500x500,Cropping,NA,"AP on ChangGuang: 87.39% (Mask-RCNN with OCIE-DFR-RFE); AP on SSDD: 92.09% (Mask-RCNN with OCIE-DFR-RFE). Reduced parameters compared to baseline (40.03 M vs 44.17 M for Mask-RCNN). Multi-scaling is introduced, and the receptive field expansion (RFE) module is designed to integrate a combination of FPN and ASPP in order to improve the detection effect on targets of different scales.Effective for small targets and complex backgrounds",General multi-stage detectors have high computation and memory storage,not provided,TRUE
35,2020,8,Zhang,NA,Comparison of two DL methods for ship target recognition with optical remotely sensed data,NCA,research,two stage,FasterRCNN/MaskRCNN,VGG16 (Faster R-CNN); ResNet50 (Mask R-CNN),Standard RPN (Faster R-CNN); FPN (Feature Pyramid Network) (Mask R-CNN),NA,800-1024x,VOC2007(custom),NA,NA,NA,NA,Color transformation; PCA; Random scale; Shift; Flip; Rotation; Noise; Random crop; Resizing/Unification,NA,Mask R-CNN Accuracy: 95.21% (vs 92.76% for Faster R-CNN); Mask R-CNN mAP: 0.947 (vs 0.922 for Faster R-CNN); Mask R-CNN MIOU: 85.24% (vs 81.43% for Faster R-CNN); Mask R-CNN provides pixel-level segmentation; Mask R-CNN is better for closely arranged ships/crowded targets; Faster R-CNN has faster FPS (4.97) compared to Mask R-CNN (4.16). Mask R-CNN is dominant.,Mask R-CNN consumes more memory and computing resources; Mask R-CNN is slower (4.16 fps) than Faster R-CNN; Faster R-CNN has higher false detection rates for non-target ships; Faster R-CNN bounding boxes can be too large for closely arranged ships; Faster R-CNN lacks pixel-level segmentation,open source,FALSE
36,2020,5,Li et al,NA,A Novel CNN Based Method for Accurate Ship Detection in HR Optical RS Images via RBB,IEEE TGRS,research,two stage,NA,VGG16,Dual-branch Rotated RPN + Multilevel Adaptive Pooling,Two 1024-D fully connected layers for classification and regression,600x≤1000,HRSC2016/GoogleEarthShipImages,0.5,2,Optical RGB (high-resolution optical remote sensing),300×300 to 1500×900,H/V flips; Resizing ,NVIDIA GTX 1080 Ti,"High AP (~0.907), improved rotated bounding-box accuracy, superior small-ship and dense-ship detection",More complex RPN with dual-branch regression; More computationally intensive than standard RPN,https://github.com/lilinhao/ShipDetection,TRUE
37,2019,7,Kartal Duman,FasterRCNN,Ship Detection From Optical Satellite Images With DL,IEEE Xplore,research,two stage,FasterRCNN,Inception v2,NA,NA,550x393-1950x1950,ShipsSatelliteImageryKaggle,NA,NA,RGB,NA,NA,Runs on an average laptop (CPU) no GPU required,"Fast, open-source, easy to use; demonstrates correct detections in many cases",False alarms on images with <6 ships; performance drops on large images or many ships,open source,FALSE
38,2018,2,Liu et al,RRCNN,Rotated region based CNN for ship detection,IEEE Xplore,research,two stage,RRCNN,VGG-16,"RRoI pooling layer (rotated ROI), shared convolutional feature maps",Rotated bounding box regression head + classification + NMS auxiliary branch,~300–1500x,HRSC2016,NA,NA,RGB,NA,NA,NA,"Significant mAP improvement over baselines: e.g., +6.1 mAP (L1), +4.8 mAP (L2); accurate rotated ship localization; robust for densely moored ships",RC2 variant suffers reduced mAP on L2/L3 due to strict cross-class NMS; more computational steps than vanilla Fast R-CNN,not provided,FALSE
39,2025,5,Yuan et al,MODT,Knowledge distillation enhanced marine optical RS OD with transformer and dual path architecture,FrontMarSci,research,hybrid,CNN/Transformer,Dual-path encoder: CNN branch + self-attention branch (HFFI module),HFFI intertwined feature fusion + EMSA (Enhanced Multi-Scale Attention),Transformer-style decoder with decoupled class & location queries + multivariate matching,1024×1024,SeaDronesSee/DOTAMarine,NA,NA,NA,SeaDronesSee: varied UAV images (5–260 m altitude); DOTA-Marine: 1024×1024,Cropping; Resizing; Normalization; Histogram equalization; Wave simulation; Fog synthesis,NVIDIA Jetson Xavier NX 16 GB,mAP50 = 0.891 (SeaDronesSee) and 0.824 (DOTA-Marine); strong APs for small objects (0.448 and 0.395); low params (14.79M) and GFLOPs (77.9),Performance drop under extreme weather; Knowledge distillation increases model complexity,not provided,FALSE
40,2025,4,Shi et al,ShipYOLOv5,A DL Approach for Ship Detection in RS Images,MSE,research,one stage,YOLOv5s,Modified YOLOv5s backbone using LiteConv (PConv + 1×1 convolutions) replacing C3 modules,PANet with EDC (Efficient Dynamic Convolution: ELA + ODConv) + CARAFE upsampling,LADH-Head (Lightweight Asymmetric Decoupled Head) for separate classification and regression,1024×1024,ShipRSImageNet/DOTA,NA,NA,RGB,ShipRSImageNet: ~930×930; DOTA: 4000×4000,Cropping; Resizing; Normalization; K-means anchor clustering; CARAFE upsampling; Attention-based feature enhancement,8× NVIDIA RTX4090 24 GB,"ShipRSImageNet: Precision 75.8, Recall 71.8, mAP@0.5 = 74.1, mAP@0.5:0.95 = 62.4. DOTA: mAP = 76.6. Strong small-target accuracy, improved robustness under occlusion and complex backgrounds. Address the challenges posed by small and densely distributed targets",Higher GFLOPs (24.8) than baseline YOLOv5s. Computationally heavier than other lightweight YOLO variants. Ineffective in detecting heavily occluded regions,not provided,TRUE
41,2024,10,Liu,FineShipNet,Exploiting Discriminating Features for Fine Grained Ship Detection in Optical RS Images,IEEE JSTAEORS,research,one stage,NA,ResNet-50,BSM (Blend Synchronization Module) + PFFM (Polarized Feature Focusing Module),RetinaNet-style head with task-decoupled FPN features (classification/regression),300×300-~930×930,HRSC2016/DOSR/FGSD2021/ShipRSImageNet,0.5 m (DOSR),2.5 m (DOSR),NA,HRSC2016: 300×300–1500×900; DOSR: 600–1300 px; FGSD2021: 157–7789 px width; ShipRSImageNet: ~930×930,Random flip; Rotation; HSV dithering,NVIDIA RTX 2080 Ti,"State-of-the-art mAP: 81.3% (HRSC2016), 68.5% (DOSR), 85.7% (FGSD2021), 63.9% (ShipRSImageNet); strong small-object performance; improved discriminating feature extraction",High FLOPs and parameter count; occasional misclassification of docks as ships; larger computational cost compared to lightweight models,not provided,TRUE
42,2024,9,Chen et al,YOLOv5,Transformer Enhanced YOLOv5 Network for Ship Detection in Optical RS Images,IEEE ICICSP,research,one stage,YOLOv5s,SwinTransformer-Tiny,YOLOv5s PANet/FPN,Standard YOLOv5s detection head,NA,LEVIRShip/HRSC(custom),NA,NA,NA,NA,NA,NA,"LEVIR-ship: mAP50 ↑ from 93.8% to 95.2%. HRSC-4: mAP50 ↑ from 96.2% to 96.5%. Finegrained classification performance. Increased P and R, reduced false alarms and missed detections",Uses heavy Transformer backbone increasing computational cost; model less sensitive to medium-scale features; orientation not modeled.,not provided,TRUE
